date,pool,threads,ws,rw_ratio,ltc,ltc_d,pattern,access,mode,ops,drops
Jun  9 08:49:42,ram_l,1,10240,50,67,46,uniform,touch,Mem100,56148774,1542
Jun  9 08:49:55,ram_l,1,11264,50,66,45,uniform,touch,Mem100,56517188,1549
Jun  9 08:50:09,ram_l,1,12288,50,67,46,uniform,touch,Mem100,56141078,1554
Jun  9 08:50:22,ram_l,1,13312,50,68,46,uniform,touch,Mem100,55921602,1560
Jun  9 08:50:37,ram_l,1,14336,50,69,46,uniform,touch,Mem100,55753700,1571
Jun  9 08:50:51,ram_l,1,15360,50,67,45,uniform,touch,Mem100,56123833,1580
Jun  9 08:51:05,ram_l,1,16384,50,69,46,uniform,touch,Mem100,55744581,1589
Jun  9 08:51:21,ram_l,1,17408,50,80,57,uniform,touch,Mem100,52011012,1596
Jun  9 08:51:38,ram_l,1,18432,50,90,67,uniform,touch,Mem100,48876097,1605
Jun  9 08:51:55,ram_l,1,19456,50,100,78,uniform,touch,Mem100,46312456,1614
Jun  9 08:52:14,ram_l,1,20480,50,109,91,uniform,touch,Mem100,44289606,1627
Jun  9 08:52:34,ram_l,1,21504,50,107,87,uniform,touch,Mem100,44769203,1638
Jun  9 08:52:53,ram_l,1,22528,50,106,85,uniform,touch,Mem100,45074225,1643
Jun  9 08:53:13,ram_l,1,23552,50,104,82,uniform,touch,Mem100,45521760,1655
Jun  9 08:53:33,ram_l,1,24576,50,103,81,uniform,touch,Mem100,45604384,1664
Jun  9 08:53:54,ram_l,1,25600,50,101,78,uniform,touch,Mem100,46144411,1672
Jun  9 08:54:14,ram_l,1,26624,50,108,86,uniform,touch,Mem100,44976982,1680
Jun  9 08:54:35,ram_l,1,27648,50,100,76,uniform,touch,Mem100,46599343,1685
Jun  9 08:54:56,ram_l,1,28672,50,98,75,uniform,touch,Mem100,46875558,1697
Jun  9 08:55:17,ram_l,1,29696,50,97,74,uniform,touch,Mem100,47065989,1706
Jun  9 08:55:38,ram_l,1,30720,50,96,72,uniform,touch,Mem100,47375180,1713
Jun  9 08:56:00,ram_l,1,31744,50,96,73,uniform,touch,Mem100,47349548,1723
Jun  9 08:56:22,ram_l,1,32768,50,95,70,uniform,touch,Mem100,47785477,1731
Jun  9 08:56:44,ram_l,1,33792,50,96,72,uniform,touch,Mem100,47569100,1735
Jun  9 08:57:06,ram_l,1,34816,50,94,70,uniform,touch,Mem100,48004236,1739
Jun  9 08:57:29,ram_l,1,35840,50,93,68,uniform,touch,Mem100,48333951,1746
Jun  9 08:57:51,ram_l,1,36864,50,100,75,uniform,touch,Mem100,46949478,1755
Jun  9 08:58:15,ram_l,1,37888,50,97,73,uniform,touch,Mem100,47107057,1761
Jun  9 08:58:40,ram_l,1,38912,50,103,79,uniform,touch,Mem100,45846171,1769
Jun  9 08:59:06,ram_l,1,39936,50,108,86,uniform,touch,Mem100,44609101,1779
Jun  9 09:25:22,ram_l,1,1,100,18,3,uniform,touch,Mem24,83305427,1779
Jun  9 09:25:33,ram_l,1,10,100,28,3,uniform,touch,Mem24,76899604,1781
Jun  9 09:25:44,ram_l,1,50,100,69,33,uniform,touch,Mem24,58656215,1787
Jun  9 09:25:55,ram_l,1,100,100,86,23,uniform,touch,Mem24,53125351,1792
Jun  9 09:26:06,ram_l,1,200,100,93,17,uniform,touch,Mem24,51175592,1794
Jun  9 09:26:17,ram_l,1,500,100,98,16,uniform,touch,Mem24,49922605,1800
Jun  9 09:26:28,ram_l,1,800,100,102,16,uniform,touch,Mem24,49172206,1809
Jun  9 09:26:39,ram_l,1,1000,100,100,16,uniform,touch,Mem24,49474979,1817
Jun  9 09:26:50,ram_l,1,1024,100,100,16,uniform,touch,Mem24,49436902,1825
Jun  9 09:27:02,ram_l,1,2048,100,103,16,uniform,touch,Mem24,48827670,1834
Jun  9 09:27:14,ram_l,1,3072,100,101,16,uniform,touch,Mem24,49292239,1843
Jun  9 09:27:26,ram_l,1,4096,100,103,16,uniform,touch,Mem24,48692995,1850
Jun  9 09:27:38,ram_l,1,5120,100,104,16,uniform,touch,Mem24,48427549,1855
Jun  9 09:27:51,ram_l,1,6144,100,106,16,uniform,touch,Mem24,48171918,1861
Jun  9 09:28:04,ram_l,1,7168,100,106,16,uniform,touch,Mem24,48012675,1870
Jun  9 09:28:17,ram_l,1,8192,100,107,16,uniform,touch,Mem24,47922838,1877
Jun  9 09:28:30,ram_l,1,9216,100,107,16,uniform,touch,Mem24,47752050,1885
Jun  9 09:28:43,ram_l,1,10240,100,108,16,uniform,touch,Mem24,47734469,1892
Jun  9 09:28:57,ram_l,1,11264,100,109,16,uniform,touch,Mem24,47527474,1902
Jun  9 09:29:11,ram_l,1,12288,100,109,16,uniform,touch,Mem24,47476641,1910
Jun  9 09:29:25,ram_l,1,13312,100,110,17,uniform,touch,Mem24,47357629,1918
Jun  9 09:29:39,ram_l,1,14336,100,110,16,uniform,touch,Mem24,47223687,1923
Jun  9 09:29:53,ram_l,1,15360,100,110,16,uniform,touch,Mem24,47278867,1928
Jun  9 09:30:08,ram_l,1,16384,100,110,17,uniform,touch,Mem24,47207410,1934
Jun  9 09:30:23,ram_l,1,17408,100,110,17,uniform,touch,Mem24,47137370,1941
Jun  9 09:30:38,ram_l,1,18432,100,110,17,uniform,touch,Mem24,47097531,1947
Jun  9 09:30:54,ram_l,1,19456,100,110,17,uniform,touch,Mem24,47107886,1957
Jun  9 09:31:09,ram_l,1,20480,100,111,17,uniform,touch,Mem24,46880650,1966
Jun  9 09:31:25,ram_l,1,21504,100,111,17,uniform,touch,Mem24,46967580,1973
Jun  9 09:31:41,ram_l,1,22528,100,111,16,uniform,touch,Mem24,47076137,1977
Jun  9 09:31:57,ram_l,1,23552,100,111,17,uniform,touch,Mem24,46902986,1982
Jun  9 09:32:13,ram_l,1,24576,100,112,17,uniform,touch,Mem24,46834525,1988
Jun  9 09:32:30,ram_l,1,25600,100,111,17,uniform,touch,Mem24,46969419,1996
Jun  9 09:32:47,ram_l,1,26624,100,112,17,uniform,touch,Mem24,46773060,2002
Jun  9 09:33:04,ram_l,1,27648,100,112,17,uniform,touch,Mem24,46863040,2009
Jun  9 09:33:21,ram_l,1,28672,100,112,17,uniform,touch,Mem24,46743140,2014
Jun  9 09:33:39,ram_l,1,29696,100,112,17,uniform,touch,Mem24,46771785,2022
Jun  9 09:33:57,ram_l,1,30720,100,111,17,uniform,touch,Mem24,46871260,2028
Jun  9 09:34:16,ram_l,1,31744,100,117,27,uniform,touch,Mem24,45655602,2034
Jun  9 09:34:34,ram_l,1,32768,100,114,20,uniform,touch,Mem24,46346642,2041
Jun  9 09:34:54,ram_l,1,33792,100,130,47,uniform,touch,Mem24,43185195,2050
Jun  9 09:35:14,ram_l,1,34816,100,135,57,uniform,touch,Mem24,42142973,2057
Jun  9 09:35:36,ram_l,1,35840,100,150,80,uniform,touch,Mem24,39616527,2063
Jun  9 09:35:58,ram_l,1,36864,100,156,88,uniform,touch,Mem24,38836803,2070
Jun  9 09:36:22,ram_l,1,37888,100,169,106,uniform,touch,Mem24,36952130,2082
Jun  9 09:36:46,ram_l,1,38912,100,173,112,uniform,touch,Mem24,36342427,2089
Jun  9 09:37:12,ram_l,1,39936,100,186,127,uniform,touch,Mem24,34799536,2098
Jun  9 09:37:23,ram_l,1,1,50,16,1,uniform,touch,Mem24,78836365,2098
Jun  9 09:37:34,ram_l,1,10,50,22,6,uniform,touch,Mem24,75853749,2098
Jun  9 09:37:45,ram_l,1,50,50,42,32,uniform,touch,Mem24,65674310,2100
Jun  9 09:37:56,ram_l,1,100,50,50,39,uniform,touch,Mem24,62253038,2100
Jun  9 09:38:06,ram_l,1,200,50,55,41,uniform,touch,Mem24,60540019,2105
Jun  9 09:38:17,ram_l,1,500,50,58,43,uniform,touch,Mem24,59418521,2110
Jun  9 09:38:28,ram_l,1,800,50,58,43,uniform,touch,Mem24,59393504,2114
Jun  9 09:38:39,ram_l,1,1000,50,59,43,uniform,touch,Mem24,59103297,2119
Jun  9 09:38:50,ram_l,1,1024,50,58,43,uniform,touch,Mem24,59316619,2125
Jun  9 09:39:02,ram_l,1,2048,50,59,43,uniform,touch,Mem24,58957285,2132
Jun  9 09:39:13,ram_l,1,3072,50,59,43,uniform,touch,Mem24,59086373,2137
Jun  9 09:39:25,ram_l,1,4096,50,61,44,uniform,touch,Mem24,58262069,2142
Jun  9 09:39:37,ram_l,1,5120,50,62,44,uniform,touch,Mem24,57877647,2146
Jun  9 09:39:49,ram_l,1,6144,50,66,47,uniform,touch,Mem24,56422487,2155
Jun  9 09:40:02,ram_l,1,7168,50,64,44,uniform,touch,Mem24,57321233,2165
Jun  9 09:40:14,ram_l,1,8192,50,66,46,uniform,touch,Mem24,56427965,2169
Jun  9 09:40:27,ram_l,1,9216,50,65,44,uniform,touch,Mem24,57025517,2180
Jun  9 09:40:40,ram_l,1,10240,50,67,46,uniform,touch,Mem24,56350227,2187
Jun  9 09:40:54,ram_l,1,11264,50,66,44,uniform,touch,Mem24,56717595,2194
Jun  9 09:41:07,ram_l,1,12288,50,67,45,uniform,touch,Mem24,56228283,2203
Jun  9 09:41:21,ram_l,1,13312,50,67,45,uniform,touch,Mem24,56361518,2208
Jun  9 09:41:35,ram_l,1,14336,50,67,45,uniform,touch,Mem24,56094725,2216
Jun  9 09:41:49,ram_l,1,15360,50,67,44,uniform,touch,Mem24,56376373,2223
Jun  9 09:42:03,ram_l,1,16384,50,68,46,uniform,touch,Mem24,55852171,2228
Jun  9 09:42:19,ram_l,1,17408,50,78,55,uniform,touch,Mem24,52478998,2235
Jun  9 09:42:35,ram_l,1,18432,50,90,66,uniform,touch,Mem24,49010945,2241
Jun  9 09:42:53,ram_l,1,19456,50,99,76,uniform,touch,Mem24,46740095,2247
Jun  9 09:43:12,ram_l,1,20480,50,108,90,uniform,touch,Mem24,44465735,2254
Jun  9 09:43:31,ram_l,1,21504,50,106,85,uniform,touch,Mem24,45088681,2265
Jun  9 09:43:50,ram_l,1,22528,50,105,83,uniform,touch,Mem24,45302223,2269
Jun  9 09:44:10,ram_l,1,23552,50,103,80,uniform,touch,Mem24,45709438,2274
Jun  9 09:44:29,ram_l,1,24576,50,102,79,uniform,touch,Mem24,46035283,2280
Jun  9 09:44:49,ram_l,1,25600,50,100,77,uniform,touch,Mem24,46391337,2287
Jun  9 09:45:09,ram_l,1,26624,50,99,76,uniform,touch,Mem24,46627013,2295
Jun  9 09:45:30,ram_l,1,27648,50,103,79,uniform,touch,Mem24,46086096,2303
Jun  9 09:45:50,ram_l,1,28672,50,97,73,uniform,touch,Mem24,47188730,2311
Jun  9 09:46:11,ram_l,1,29696,50,96,72,uniform,touch,Mem24,47587338,2319
Jun  9 09:46:32,ram_l,1,30720,50,97,72,uniform,touch,Mem24,47298842,2324
Jun  9 09:46:53,ram_l,1,31744,50,101,76,uniform,touch,Mem24,46744035,2330
Jun  9 09:47:14,ram_l,1,32768,50,94,70,uniform,touch,Mem24,47923961,2340
Jun  9 09:47:36,ram_l,1,33792,50,92,68,uniform,touch,Mem24,48442123,2347
Jun  9 09:47:58,ram_l,1,34816,50,92,68,uniform,touch,Mem24,48465918,2350
Jun  9 09:48:20,ram_l,1,35840,50,92,67,uniform,touch,Mem24,48596896,2359
Jun  9 09:48:43,ram_l,1,36864,50,93,69,uniform,touch,Mem24,48100919,2369
Jun  9 09:49:06,ram_l,1,37888,50,98,73,uniform,touch,Mem24,47150358,2378
Jun  9 09:49:32,ram_l,1,38912,50,103,80,uniform,touch,Mem24,45670456,2386
Jun  9 09:49:57,ram_l,1,39936,50,105,83,uniform,touch,Mem24,45206559,2397
Jun  9 09:55:51,ram_l,1,1,100,18,2,uniform,touch,Mem49,83665180,2397
Jun  9 09:56:02,ram_l,1,10,100,28,3,uniform,touch,Mem49,76795399,2401
Jun  9 09:56:13,ram_l,1,50,100,68,33,uniform,touch,Mem49,58802277,2406
Jun  9 09:56:24,ram_l,1,100,100,86,23,uniform,touch,Mem49,53386513,2410
Jun  9 09:56:35,ram_l,1,200,100,95,17,uniform,touch,Mem49,50872507,2414
Jun  9 09:56:46,ram_l,1,500,100,99,16,uniform,touch,Mem49,49677502,2425
Jun  9 09:56:57,ram_l,1,800,100,101,16,uniform,touch,Mem49,49316947,2445
Jun  9 09:57:08,ram_l,1,1000,100,101,16,uniform,touch,Mem49,49322245,2447
Jun  9 09:57:19,ram_l,1,1024,100,101,16,uniform,touch,Mem49,49201011,2455
Jun  9 09:57:31,ram_l,1,2048,100,100,16,uniform,touch,Mem49,49421458,2462
Jun  9 09:57:43,ram_l,1,3072,100,102,16,uniform,touch,Mem49,48963925,2469
Jun  9 09:57:55,ram_l,1,4096,100,104,17,uniform,touch,Mem49,48441123,2476
Jun  9 09:58:07,ram_l,1,5120,100,106,16,uniform,touch,Mem49,48207331,2484
Jun  9 09:58:20,ram_l,1,6144,100,106,16,uniform,touch,Mem49,48079445,2491
Jun  9 09:58:32,ram_l,1,7168,100,106,16,uniform,touch,Mem49,48146887,2497
Jun  9 09:58:45,ram_l,1,8192,100,106,16,uniform,touch,Mem49,48049977,2502
Jun  9 09:58:59,ram_l,1,9216,100,109,16,uniform,touch,Mem49,47485425,2511
Jun  9 09:59:12,ram_l,1,10240,100,109,16,uniform,touch,Mem49,47405371,2517
Jun  9 09:59:26,ram_l,1,11264,100,108,16,uniform,touch,Mem49,47661598,2523
Jun  9 09:59:40,ram_l,1,12288,100,110,16,uniform,touch,Mem49,47241855,2528
Jun  9 09:59:54,ram_l,1,13312,100,110,17,uniform,touch,Mem49,47159052,2535
Jun  9 10:00:08,ram_l,1,14336,100,110,17,uniform,touch,Mem49,47056581,2542
Jun  9 10:00:22,ram_l,1,15360,100,111,17,uniform,touch,Mem49,46976807,2547
Jun  9 10:00:37,ram_l,1,16384,100,110,17,uniform,touch,Mem49,47317440,2552
Jun  9 10:00:52,ram_l,1,17408,100,110,16,uniform,touch,Mem49,47301040,2557
Jun  9 10:01:07,ram_l,1,18432,100,111,17,uniform,touch,Mem49,46917331,2561
Jun  9 10:01:22,ram_l,1,19456,100,110,17,uniform,touch,Mem49,47223038,2568
Jun  9 10:01:38,ram_l,1,20480,100,112,17,uniform,touch,Mem49,46834800,2575
Jun  9 10:01:54,ram_l,1,21504,100,110,17,uniform,touch,Mem49,47086581,2584
Jun  9 10:02:10,ram_l,1,22528,100,112,17,uniform,touch,Mem49,46821641,2589
Jun  9 10:02:26,ram_l,1,23552,100,112,17,uniform,touch,Mem49,46746974,2597
Jun  9 10:02:42,ram_l,1,24576,100,112,17,uniform,touch,Mem49,46699139,2603
Jun  9 10:02:59,ram_l,1,25600,100,113,16,uniform,touch,Mem49,46599758,2609
Jun  9 10:03:16,ram_l,1,26624,100,112,17,uniform,touch,Mem49,46752387,2618
Jun  9 10:03:33,ram_l,1,27648,100,112,17,uniform,touch,Mem49,46724310,2624
Jun  9 10:03:50,ram_l,1,28672,100,111,17,uniform,touch,Mem49,46960880,2632
Jun  9 10:04:08,ram_l,1,29696,100,113,17,uniform,touch,Mem49,46676772,2641
Jun  9 10:04:27,ram_l,1,30720,100,117,27,uniform,touch,Mem49,45724542,2650
Jun  9 10:04:45,ram_l,1,31744,100,113,19,uniform,touch,Mem49,46393318,2657
Jun  9 10:05:05,ram_l,1,32768,100,118,30,uniform,touch,Mem49,45445658,2668
Jun  9 10:05:24,ram_l,1,33792,100,125,39,uniform,touch,Mem49,44072584,2677
Jun  9 10:05:44,ram_l,1,34816,100,140,65,uniform,touch,Mem49,41216765,2685
Jun  9 10:06:06,ram_l,1,35840,100,146,73,uniform,touch,Mem49,40325188,2694
Jun  9 10:06:28,ram_l,1,36864,100,159,94,uniform,touch,Mem49,38313023,2703
Jun  9 10:06:52,ram_l,1,37888,100,165,100,uniform,touch,Mem49,37428493,2713
Jun  9 10:07:17,ram_l,1,38912,100,177,117,uniform,touch,Mem49,35863265,2718
Jun  9 10:07:42,ram_l,1,39936,100,183,122,uniform,touch,Mem49,35134347,2725
Jun  9 10:07:53,ram_l,1,1,50,17,1,uniform,touch,Mem49,78649053,2727
Jun  9 10:08:04,ram_l,1,10,50,22,7,uniform,touch,Mem49,75378864,2727
Jun  9 10:08:15,ram_l,1,50,50,42,32,uniform,touch,Mem49,65696598,2733
Jun  9 10:08:26,ram_l,1,100,50,51,39,uniform,touch,Mem49,62035058,2735
Jun  9 10:08:37,ram_l,1,200,50,54,41,uniform,touch,Mem49,60710460,2738
Jun  9 10:08:48,ram_l,1,500,50,57,43,uniform,touch,Mem49,59490947,2741
Jun  9 10:08:59,ram_l,1,800,50,57,42,uniform,touch,Mem49,59490992,2746
Jun  9 10:09:10,ram_l,1,1000,50,58,43,uniform,touch,Mem49,59233221,2747
Jun  9 10:09:21,ram_l,1,1024,50,58,43,uniform,touch,Mem49,59427696,2752
Jun  9 10:09:32,ram_l,1,2048,50,59,43,uniform,touch,Mem49,59080695,2758
Jun  9 10:09:43,ram_l,1,3072,50,58,43,uniform,touch,Mem49,59231039,2762
Jun  9 10:09:55,ram_l,1,4096,50,61,44,uniform,touch,Mem49,58334574,2768
Jun  9 10:10:07,ram_l,1,5120,50,63,45,uniform,touch,Mem49,57500096,2777
Jun  9 10:10:20,ram_l,1,6144,50,65,46,uniform,touch,Mem49,56783535,2781
Jun  9 10:10:32,ram_l,1,7168,50,66,47,uniform,touch,Mem49,56231239,2789
Jun  9 10:10:45,ram_l,1,8192,50,66,46,uniform,touch,Mem49,56576122,2795
Jun  9 10:10:58,ram_l,1,9216,50,68,47,uniform,touch,Mem49,55778280,2806
Jun  9 10:11:11,ram_l,1,10240,50,67,46,uniform,touch,Mem49,56170504,2811
Jun  9 10:11:25,ram_l,1,11264,50,69,47,uniform,touch,Mem49,55736172,2815
Jun  9 10:11:38,ram_l,1,12288,50,68,46,uniform,touch,Mem49,56073272,2821
Jun  9 10:11:52,ram_l,1,13312,50,69,47,uniform,touch,Mem49,55585273,2823
Jun  9 10:12:06,ram_l,1,14336,50,68,46,uniform,touch,Mem49,55829288,2827
Jun  9 10:12:21,ram_l,1,15360,50,69,46,uniform,touch,Mem49,55519771,2832
Jun  9 10:12:35,ram_l,1,16384,50,69,46,uniform,touch,Mem49,55759623,2837
Jun  9 10:12:51,ram_l,1,17408,50,80,57,uniform,touch,Mem49,51784616,2844
Jun  9 10:13:08,ram_l,1,18432,50,90,66,uniform,touch,Mem49,49011602,2853
Jun  9 10:13:26,ram_l,1,19456,50,101,79,uniform,touch,Mem49,46148641,2861
Jun  9 10:13:45,ram_l,1,20480,50,108,90,uniform,touch,Mem49,44417795,2870
Jun  9 10:14:04,ram_l,1,21504,50,108,88,uniform,touch,Mem49,44574144,2879
Jun  9 10:14:24,ram_l,1,22528,50,106,84,uniform,touch,Mem49,45105155,2886
Jun  9 10:14:44,ram_l,1,23552,50,105,83,uniform,touch,Mem49,45288930,2894
Jun  9 10:15:04,ram_l,1,24576,50,103,80,uniform,touch,Mem49,45731914,2904
Jun  9 10:15:24,ram_l,1,25600,50,102,80,uniform,touch,Mem49,45943541,2912
Jun  9 10:15:45,ram_l,1,26624,50,100,76,uniform,touch,Mem49,46541999,2921
Jun  9 10:16:05,ram_l,1,27648,50,101,78,uniform,touch,Mem49,46278151,2927
Jun  9 10:16:26,ram_l,1,28672,50,98,74,uniform,touch,Mem49,46956807,2931
Jun  9 10:16:48,ram_l,1,29696,50,98,74,uniform,touch,Mem49,47051023,2935
Jun  9 10:17:09,ram_l,1,30720,50,96,72,uniform,touch,Mem49,47397482,2942
Jun  9 10:17:31,ram_l,1,31744,50,96,72,uniform,touch,Mem49,47485344,2948
Jun  9 10:17:52,ram_l,1,32768,50,95,70,uniform,touch,Mem49,47753161,2953
Jun  9 10:18:15,ram_l,1,33792,50,94,70,uniform,touch,Mem49,47888674,2958
Jun  9 10:18:37,ram_l,1,34816,50,93,69,uniform,touch,Mem49,48162744,2966
Jun  9 10:18:59,ram_l,1,35840,50,93,68,uniform,touch,Mem49,48358202,2972
Jun  9 10:19:22,ram_l,1,36864,50,93,68,uniform,touch,Mem49,48414198,2976
Jun  9 10:19:46,ram_l,1,37888,50,98,73,uniform,touch,Mem49,46988840,2981
Jun  9 10:20:11,ram_l,1,38912,50,103,79,uniform,touch,Mem49,45811265,2985
Jun  9 10:20:37,ram_l,1,39936,50,108,86,uniform,touch,Mem49,44601580,2991
Jun  9 06:02:34,ram_r,1,40960,100,219,160,uniform,touch,Mem50,15487588,2999
Jun  9 06:02:58,ram_r,1,41984,100,217,158,uniform,touch,Mem50,15581203,3008
Jun  9 06:03:22,ram_r,1,43008,100,214,156,uniform,touch,Mem50,15734508,3020
Jun  9 06:03:46,ram_r,1,44032,100,212,154,uniform,touch,Mem50,15816360,3024
Jun  9 06:04:12,ram_r,1,45056,100,221,161,uniform,touch,Mem50,15400950,3038
Jun  9 06:04:38,ram_r,1,46080,100,224,164,uniform,touch,Mem50,15249897,3047
Jun  9 06:05:06,ram_r,1,47104,100,233,170,uniform,touch,Mem50,14813624,3052
Jun  9 06:05:34,ram_r,1,48128,100,236,172,uniform,touch,Mem50,14727407,3069
Jun  9 06:06:04,ram_r,1,49152,100,245,177,uniform,touch,Mem50,14338874,3077
Jun  9 06:06:34,ram_r,1,50176,100,246,179,uniform,touch,Mem50,14262036,3092
Jun  9 06:07:06,ram_r,1,51200,100,254,183,uniform,touch,Mem50,13955099,3100
Jun  9 06:07:38,ram_r,1,52224,100,256,183,uniform,touch,Mem50,13890564,3103
Jun  9 06:08:12,ram_r,1,53248,100,264,186,uniform,touch,Mem50,13580642,3115
Jun  9 06:08:46,ram_r,1,54272,100,266,187,uniform,touch,Mem50,13501057,3121
Jun  9 06:09:22,ram_r,1,55296,100,273,189,uniform,touch,Mem50,13245354,3125
Jun  9 06:09:58,ram_r,1,56320,100,275,190,uniform,touch,Mem50,13193541,3131
Jun  9 06:10:35,ram_r,1,57344,100,280,191,uniform,touch,Mem50,13015817,3137
Jun  9 06:11:14,ram_r,1,58368,100,283,192,uniform,touch,Mem50,12939902,3146
Jun  9 06:11:53,ram_r,1,59392,100,290,193,uniform,touch,Mem50,12700510,3152
Jun  9 06:12:34,ram_r,1,60416,100,290,193,uniform,touch,Mem50,12683102,3159
Jun  9 06:13:15,ram_r,1,61440,100,296,193,uniform,touch,Mem50,12517247,3166
Jun  9 06:29:50,ram_r,1,40960,50,126,116,uniform,touch,Mem50,20396998,3170
Jun  9 06:30:14,ram_r,1,41984,50,129,121,uniform,touch,Mem50,20097262,3176
Jun  9 06:30:40,ram_r,1,43008,50,132,126,uniform,touch,Mem50,19821403,3182
Jun  9 06:31:05,ram_r,1,44032,50,130,123,uniform,touch,Mem50,19986443,3186
Jun  9 06:31:32,ram_r,1,45056,50,135,130,uniform,touch,Mem50,19568787,3197
Jun  9 06:32:00,ram_r,1,46080,50,137,133,uniform,touch,Mem50,19380050,3199
Jun  9 06:32:29,ram_r,1,47104,50,142,140,uniform,touch,Mem50,19037027,3207
Jun  9 06:32:59,ram_r,1,48128,50,144,143,uniform,touch,Mem50,18867689,3211
Jun  9 06:33:29,ram_r,1,49152,50,148,148,uniform,touch,Mem50,18565825,3215
Jun  9 06:34:01,ram_r,1,50176,50,149,150,uniform,touch,Mem50,18471638,3218
Jun  9 06:34:34,ram_r,1,51200,50,153,156,uniform,touch,Mem50,18139216,3223
Jun  9 06:35:07,ram_r,1,52224,50,151,153,uniform,touch,Mem50,18288962,3226
Jun  9 06:35:41,ram_r,1,53248,50,150,152,uniform,touch,Mem50,18345412,3233
Jun  9 06:36:16,ram_r,1,54272,50,154,156,uniform,touch,Mem50,18089737,3240
Jun  9 06:36:51,ram_r,1,55296,50,156,159,uniform,touch,Mem50,17956590,3245
Jun  9 06:37:28,ram_r,1,56320,50,158,162,uniform,touch,Mem50,17788667,3249
Jun  9 06:38:06,ram_r,1,57344,50,160,165,uniform,touch,Mem50,17640060,3254
Jun  9 06:38:45,ram_r,1,58368,50,165,170,uniform,touch,Mem50,17384173,3259
Jun  9 06:39:25,ram_r,1,59392,50,166,172,uniform,touch,Mem50,17286246,3264
Jun  9 06:40:05,ram_r,1,60416,50,169,174,uniform,touch,Mem50,17138284,3267
Jun  9 06:40:47,ram_r,1,61440,50,170,176,uniform,touch,Mem50,17028227,3270
Jun  9 06:41:12,ram_r,1,40960,0,29,10,uniform,touch,Mem50,29156534,3273
Jun  9 06:41:36,ram_r,1,41984,0,29,10,uniform,touch,Mem50,29013865,3275
Jun  9 06:42:03,ram_r,1,43008,0,29,11,uniform,touch,Mem50,28512329,3277
Jun  9 06:42:29,ram_r,1,44032,0,30,11,uniform,touch,Mem50,28372170,3278
Jun  9 06:42:57,ram_r,1,45056,0,30,12,uniform,touch,Mem50,27854734,3279
Jun  9 06:43:26,ram_r,1,46080,0,30,12,uniform,touch,Mem50,27734625,3281
Jun  9 06:43:57,ram_r,1,47104,0,30,13,uniform,touch,Mem50,27298512,3282
Jun  9 06:44:27,ram_r,1,48128,0,30,13,uniform,touch,Mem50,27172352,3286
Jun  9 06:45:00,ram_r,1,49152,0,31,13,uniform,touch,Mem50,26837048,3287
Jun  9 06:45:32,ram_r,1,50176,0,30,13,uniform,touch,Mem50,27133420,3292
Jun  9 06:46:05,ram_r,1,51200,0,31,14,uniform,touch,Mem50,26740701,3295
Jun  9 06:46:39,ram_r,1,52224,0,31,14,uniform,touch,Mem50,26653535,3296
Jun  9 06:47:14,ram_r,1,53248,0,31,14,uniform,touch,Mem50,26684639,3298
Jun  9 06:47:50,ram_r,1,54272,0,31,14,uniform,touch,Mem50,26458175,3301
Jun  9 06:48:27,ram_r,1,55296,0,31,15,uniform,touch,Mem50,26312342,3304
Jun  9 06:49:05,ram_r,1,56320,0,32,15,uniform,touch,Mem50,26088112,3306
Jun  9 06:49:43,ram_r,1,57344,0,32,16,uniform,touch,Mem50,26129140,3306
Jun  9 06:50:23,ram_r,1,58368,0,35,22,uniform,touch,Mem50,25740576,3309
Jun  9 06:51:03,ram_r,1,59392,0,36,23,uniform,touch,Mem50,25564650,3311
Jun  9 06:51:44,ram_r,1,60416,0,36,22,uniform,touch,Mem50,25376947,3314
Jun  9 06:52:26,ram_r,1,61440,0,36,23,uniform,touch,Mem50,25252656,3315
Jun  9 08:00:55,ram_r,1,40960,50,233,160,uniform,mfence,Mem50,14555781,3323
Jun  9 08:01:21,ram_r,1,41984,50,238,163,uniform,mfence,Mem50,14369134,3330
Jun  9 08:01:47,ram_r,1,43008,50,246,169,uniform,mfence,Mem50,14062348,3336
Jun  9 08:02:14,ram_r,1,44032,50,251,173,uniform,mfence,Mem50,13854576,3348
Jun  9 08:02:42,ram_r,1,45056,50,258,176,uniform,mfence,Mem50,13590119,3363
Jun  9 08:03:11,ram_r,1,46080,50,263,179,uniform,mfence,Mem50,13400119,3370
Jun  9 08:03:41,ram_r,1,47104,50,260,178,uniform,mfence,Mem50,13488187,3383
Jun  9 08:04:11,ram_r,1,48128,50,268,182,uniform,mfence,Mem50,13217768,3388
Jun  9 08:04:43,ram_r,1,49152,50,271,183,uniform,mfence,Mem50,13125358,3395
Jun  9 08:05:16,ram_r,1,50176,50,279,186,uniform,mfence,Mem50,12864613,3402
Jun  9 08:05:49,ram_r,1,51200,50,274,184,uniform,mfence,Mem50,13011977,3407
Jun  9 08:06:23,ram_r,1,52224,50,280,187,uniform,mfence,Mem50,12801978,3420
Jun  9 08:06:58,ram_r,1,53248,50,283,188,uniform,mfence,Mem50,12713703,3431
Jun  9 08:07:35,ram_r,1,54272,50,290,190,uniform,mfence,Mem50,12513963,3440
Jun  9 08:08:12,ram_r,1,55296,50,292,190,uniform,mfence,Mem50,12425972,3444
Jun  9 08:08:49,ram_r,1,56320,50,292,190,uniform,mfence,Mem50,12422155,3451
